Model	December 28, 2022	December 29, 2022	January 05, 2023	January 19, 2023	February 02, 2023	February 17, 2023	March 02, 2023	March 16, 2023	March 30, 2023	April 13, 2023	April 27, 2023	May 11, 2023	June 24, 2023	July 08, 2023	August 05, 2023	August 19, 2023	September 02, 2023	September 16, 2023	October 03, 2023	October 14, 2023	October 17, 2023	October 21, 2023
Airbus A300 600	10	10	13	13	12	18	12	15	14	12	13	15	46	46	13	18	21	24	31	57	43	44
Airbus A310 200	74	74	75	80	72	70	67	62	62	63	76	86	125	130	130	112	106	105	101	105	107	107
Airbus A310 300	25	25	29	39	40	42	43	42	35	33	39	91	61	116	106	117	157	166	171	170	144	146
Airbus A318	453	457	491	564	653	710	834	977	1073	1122	1376	1372	1499	1343	1228	1283	1451	1603	1525	1538	1562	1553
Airbus A319	353	353	361	368	293	356	366	450	435	474	473	474	451	516	648	688	676	674	711	691	682	683
Airbus A319neo	139	140	147	172	191	220	142	140	155	158	171	204	313	316	329	338	325	306	309	273	280	258
Airbus A320	70	71	70	83	81	90	75	92	110	84	120	119	161	118	188	200	166	223	252	264	268	267
Airbus A320neo	83	83	92	92	107	95	74	86	44	31	45	58	165	185	122	145	183	164	166	129	131	146
Airbus A321	53	53	125	142	143	109	137	163	154	158	166	170	266	270	205	214	204	237	251	251	251	255
Airbus A321neo	1694	1698	1685	1562	1685	1663	1544	1960	2291	2343	2447	2601	2601	2612	2462	2529	2477	2393	2323	2310	2315	2299
Airbus A321neoLR	80	80	85	82	104	127	124	134	141	137	281	306	378	403	385	351	234	256	278	263	283	214
Airbus A321neoXLR	133	133	152	164	161	135	131	135	150	144	140	160	182	207	222	237	258	271	238	215	219	223
Airbus A330 200	68	68	68	68	66	66	65	64	67	65	67	78	128	128	134	144	156	141	140	148	138	139
Airbus A330 300	40	40	38	51	76	69	45	58	54	45	48	46	104	147	170	202	244	241	278	281	243	247
Airbus A330 800neo	453	453	447	450	440	435	399	308	340	402	466	472	525	555	561	716	441	447	389	416	412	382
Airbus A330 900neo	1806	1830	1793	1844	1972	2060	1925	2013	2132	2249	2370	2418	2557	2547	2257	2264	2326	2286	2280	2311	2312	2297
Airbus A340 200	22	22	15	54	42	41	44	52	68	74	84	82	92	80	72	54	47	58	62	28	29	66
Airbus A340 300	26	26	30	39	36	37	40	29	37	50	45	54	67	67	100	114	99	97	64	64	64	64
Airbus A340 500	4	4	5	8	23	26	28	33	39	42	46	51	92	103	91	91	96	99	103	56	56	50
Airbus A340 600	0	0	0	0	0	1	4	6	6	6	6	8	63	20	34	35	45	42	33	37	38	40
Airbus A350 1000	1325	1322	1331	1391	1468	1533	1485	1545	1571	1675	1766	1908	1821	1796	1768	1822	1685	1705	1674	1644	1644	1626
Airbus A350 800	837	837	831	886	937	1005	1059	1152	1261	1316	1457	1412	1325	1397	1472	1360	1356	1375	1405	1293	1266	1278
Airbus A350 900	19	19	43	54	88	98	53	65	64	72	77	65	188	143	209	227	258	281	262	256	254	251
Airbus A350 900ULR	145	145	148	178	197	192	129	160	161	163	121	131	122	123	156	159	190	216	237	240	237	234
Airbus A380 800	376	362	372	354	367	379	381	405	414	423	457	498	523	509	469	459	463	467	467	468	468	471
Antonov An148	0	0	0	0	4	20	29	23	21	20	21	25	11	9	8	9	7	7	10	19	20	15
ATR 42 600	47	47	55	82	67	78	77	86	71	48	75	80	91	94	111	121	119	136	151	157	142	137
ATR 72 600	77	77	77	68	50	50	76	60	56	72	78	60	126	114	129	107	126	166	193	216	221	228
BAe 146 200	86	85	102	130	169	177	161	90	90	92	91	87	121	99	118	118	160	203	214	222	222	224
Beechcraft 1900D	2	2	108	63	65	57	79	27	12	72	174	157	100	34	77	22	66	5	10	8	8	11
Beechcraft Super King Air 200	50	50	44	32	38	45	43	35	35	38	40	50	51	43	56	61	57	40	49	35	35	39
Boeing 717 200	2	2	13	8	28	28	11	17	6	10	12	14	16	11	44	47	64	61	57	15	19	18
Boeing 727 200	0	0	0	0	0	0	0	2	0	3	0	3	0	4	0	0	0	4	7	1	1	1
Boeing 737 100	139	139	126	135	171	161	158	141	226	216	159	165	164	168	217	53	95	106	96	63	71	78
Boeing 737 200	3	3	11	25	32	30	38	41	52	44	24	23	30	33	45	42	22	38	39	33	34	34
Boeing 737 300	98	98	93	76	74	74	77	70	50	39	35	38	17	13	181	197	109	89	49	51	56	53
Boeing 737 400	2	2	6	5	7	3	22	20	5	4	10	8	10	16	3	11	25	40	27	25	30	33
Boeing 737 500	6	6	9	15	17	21	23	25	26	15	12	17	19	30	23	23	68	33	91	127	122	122
Boeing 737 600	40	40	32	43	58	77	91	104	83	85	80	74	96	100	141	185	207	214	205	224	228	228
Boeing 737 700	128	128	141	175	177	190	205	188	210	201	163	141	138	117	139	153	161	183	191	203	204	197
Boeing 737 700C	302	291	307	327	320	332	321	263	319	371	381	429	307	321	399	445	513	523	563	588	580	602
Boeing 737 700ER	106	106	99	110	138	147	153	135	132	148	146	133	163	166	167	142	109	80	93	96	99	96
Boeing 737 800	78	78	87	54	66	65	80	66	96	149	147	153	138	129	153	226	225	178	184	184	179	179
Boeing 737 900	6	6	8	10	12	18	30	31	22	41	22	30	29	29	101	118	112	126	135	146	146	147
Boeing 737 900ER	37	37	25	36	48	57	66	87	190	230	221	151	222	242	286	295	231	247	248	243	228	242
Boeing 737 MAX 10	1784	1785	1805	1883	1949	1951	1900	1714	1523	1617	1602	1582	1621	1555	1605	1638	1530	1431	1455	1273	1270	1263
Boeing 737 MAX 7	563	564	566	618	628	627	648	559	557	559	532	486	512	528	516	517	559	524	500	504	506	517
Boeing 737 MAX 8	100	104	100	119	157	133	127	149	153	139	135	114	155	209	272	304	312	302	310	306	307	311
Boeing 737 MAX 9	493	493	494	557	567	565	615	599	635	658	692	693	629	612	538	448	398	401	399	404	410	422
Boeing 747 100	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	2	1	0	0	0	1	1
Boeing 747 200	0	0	0	0	0	2	5	7	10	14	14	14	14	14	26	24	24	23	11	11	12	11
Boeing 747 300	1	1	0	0	1	1	1	1	0	0	0	0	1	3	1	1	0	2	0	1	1	1
Boeing 747 400	25	25	18	0	0	0	0	1	2	2	2	0	8	13	13	13	13	13	23	21	21	19
Boeing 747 400ER	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0
Boeing 747 8i	548	548	550	439	364	235	240	226	223	221	224	225	216	240	136	134	133	123	121	121	121	121
Boeing 747SP	953	954	950	1007	865	919	859	901	792	819	1005	1091	1111	1094	1035	1044	1120	1142	1187	1189	1190	1202
Boeing 757 200	73	73	51	57	68	79	84	94	100	134	162	198	254	276	329	320	330	329	227	250	251	253
Boeing 757 200ER	57	55	48	74	66	77	116	126	141	146	157	137	128	157	189	210	225	236	196	193	219	225
Boeing 757 300	23	23	23	26	33	22	39	41	32	31	26	18	55	66	68	84	34	44	36	32	27	27
Boeing 767 200	1304	1309	1311	1388	1294	1288	1204	1211	1192	1236	1267	1205	1253	1255	1253	1348	1377	1409	1423	1440	1444	1462
Boeing 767 200ER	106	108	115	124	122	122	126	131	127	130	167	157	170	204	245	273	207	200	197	196	199	202
Boeing 767 300	37	31	40	54	66	66	57	25	25	43	43	46	19	40	65	149	60	78	66	52	53	58
Boeing 767 300ER	328	328	330	324	331	346	356	354	357	368	401	390	364	379	484	441	444	442	434	447	443	443
Boeing 767 400ER	12	12	12	0	7	15	20	22	25	22	31	20	61	73	89	123	96	84	115	123	123	123
Boeing 777 200	1144	1147	1130	1042	886	896	972	971	948	886	849	821	793	802	766	767	781	738	752	752	754	754
Boeing 777 200ER	73	73	72	75	86	88	92	93	89	83	77	100	82	116	211	189	195	214	229	232	237	238
Boeing 777 200LR	62	62	73	75	84	88	82	87	85	91	84	88	162	175	212	216	241	230	206	185	185	186
Boeing 777 300	19	19	19	1	10	10	2	15	11	2	4	13	18	33	44	42	46	39	41	46	46	45
Boeing 777 300ER	13	13	14	15	6	1	16	8	6	20	22	25	49	55	71	79	88	89	94	41	41	44
Boeing 777 8	44	44	77	88	79	70	69	22	31	48	88	95	242	338	249	284	312	330	341	346	346	348
Boeing 777 9	30	30	30	44	138	254	248	249	260	258	276	295	288	288	284	287	285	281	269	269	269	269
Boeing 787 10 Dreamliner	231	228	244	264	312	335	340	402	420	430	393	411	527	524	640	678	708	697	718	749	753	760
Boeing 787 8 Dreamliner	1809	1821	1895	1930	1991	2084	2095	1969	1914	1940	1887	1923	1590	1337	1478	1507	1461	1489	1594	1585	1403	1416
Boeing 787 9 Dreamliner	277	277	232	312	331	354	383	445	423	546	524	451	455	450	503	472	504	501	512	505	508	511
Bombardier CRJ100	155	155	158	143	152	149	205	209	155	136	166	186	182	189	225	218	165	148	163	110	110	110
Bombardier CRJ1000	439	436	418	472	506	468	486	483	384	420	423	406	354	360	341	361	324	295	324	285	286	288
Bombardier CRJ200	445	444	462	501	499	494	507	548	528	446	521	522	515	445	425	394	350	325	319	312	315	325
Bombardier CRJ700	411	412	404	429	407	400	450	436	415	388	469	458	331	333	343	303	293	364	381	377	368	373
Bombardier CRJ900	183	183	199	212	215	221	201	235	176	207	217	229	314	290	258	289	269	266	268	253	253	250
Bombardier CS100	2140	2141	2238	2294	2305	2279	2328	2591	2664	2864	3048	3110	2589	2642	2600	2455	2422	2547	2632	2605	2515	2486
Bombardier CS300	452	453	465	486	496	566	564	640	620	663	709	721	681	735	765	690	711	731	773	762	773	774
Bombardier DHC 6 400	46	46	51	53	52	87	89	100	97	80	80	94	100	113	108	112	112	119	103	108	106	106
Bombardier DHC 8 100	78	78	89	110	132	124	100	77	63	71	70	78	97	49	60	77	51	47	60	131	141	137
Bombardier DHC 8 200	114	114	123	132	131	166	174	180	170	137	150	155	143	164	153	119	141	139	102	110	108	100
Bombardier DHC 8 300	230	195	187	222	178	199	217	230	239	196	208	181	136	133	171	158	186	206	152	182	186	183
Bombardier DHC 8 400	616	616	671	746	765	809	752	734	698	765	699	668	551	623	677	752	638	641	645	654	659	673
Bombardier Global 5000	1	1	1	11	17	24	31	53	29	22	36	33	39	33	20	42	23	26	41	38	34	34
Bombardier Global 7500	30	30	37	82	98	154	167	166	118	143	131	110	49	57	105	106	108	144	154	155	159	165
Bombardier Q400	114	115	138	167	179	184	188	185	145	129	129	117	185	221	226	184	174	208	180	169	166	173
Britten Norman BN 2 Islander	2	2	2	0	4	4	5	7	8	7	15	16	10	9	2	2	1	5	10	10	5	6
Britten Norman MKIII Trislander	43	43	34	0	10	10	5	1	1	1	29	31	2	2	21	18	0	0	4	7	7	7
CASA CN 235	9	9	8	10	6	15	15	16	29	32	54	44	51	77	56	52	41	50	43	105	125	144
Cessna 421	529	529	535	32	23	26	24	27	24	23	42	39	26	29	23	32	41	112	109	97	52	51
Cessna Caravan	56	56	39	25	22	10	7	5	6	17	48	35	16	15	38	28	34	37	39	37	29	29
Cessna Citation X	25	25	23	11	16	57	60	48	66	45	52	88	47	66	94	104	106	115	128	154	159	150
Comac ARJ21	0	0	0	0	0	6	8	13	7	10	9	18	19	18	12	36	23	23	11	8	8	14
Comac C919	148	148	136	51	54	129	92	135	158	171	180	193	240	238	249	256	321	327	329	256	256	256
Concorde	6	6	6	5	4	18	19	31	36	39	41	58	44	44	14	17	23	21	0	5	4	4
Dassault Falcon 50	0	0	8	9	20	26	22	13	15	10	13	11	7	2	19	20	14	3	4	5	5	5
Dornier 328 110	6	6	8	11	12	13	10	1	0	1	7	4	25	33	39	38	46	29	24	28	28	23
Dornier 328JET	31	31	26	16	16	17	10	20	9	17	10	14	20	33	36	39	47	76	80	65	67	56
Embraer E175 E2	343	344	361	351	309	329	216	194	191	207	264	263	330	353	425	473	463	488	316	346	336	370
Embraer E190 E2	306	311	350	412	456	572	528	513	511	508	463	455	471	441	405	353	308	255	252	290	277	282
Embraer E195 E2	1340	1345	1370	1440	1506	1568	1378	1262	1157	1196	1125	907	827	677	680	664	747	639	621	632	647	647
Embraer EMB120 Brasilia	162	162	187	161	133	97	119	108	90	121	133	103	104	98	93	104	105	75	93	103	106	121
Embraer EMB170 200	125	125	132	148	134	126	138	159	155	168	116	105	132	147	117	145	130	142	161	191	207	187
Embraer EMB190	333	333	313	319	300	303	290	289	311	331	320	288	410	394	451	410	385	364	342	305	324	329
Embraer ERJ135	42	42	59	83	109	116	119	110	101	120	130	137	126	132	114	103	75	61	74	79	54	60
Embraer ERJ140	94	100	115	88	84	85	119	122	120	129	119	142	141	110	81	80	115	105	73	90	96	95
Embraer ERJ145	243	240	243	213	239	303	320	316	282	322	310	289	188	176	165	146	149	140	137	135	145	138
Embraer ERJ145XR	153	153	160	172	172	170	164	178	177	147	163	134	134	120	149	138	142	165	157	123	115	123
Embraer ERJ170	200	201	169	177	161	163	169	179	208	226	173	193	202	216	184	204	225	208	210	174	180	181
Embraer ERJ175	51	51	52	60	105	134	152	145	139	143	103	109	134	159	147	115	128	135	172	117	110	122
Fokker 100	102	102	100	91	95	103	107	111	121	116	121	132	146	155	119	67	49	55	63	72	73	74
Fokker 50	12	12	12	14	8	10	10	11	10	17	20	19	31	32	75	68	91	63	74	47	51	57
Fokker 70	16	16	21	28	35	31	25	16	7	1	0	0	2	6	21	24	26	10	17	19	19	22
Fokker 70ER	30	30	24	3	10	20	29	37	42	56	27	15	1	1	39	61	61	38	5	2	2	1
Gulfstream G650ER	365	365	389	340	347	312	325	318	325	317	364	401	208	241	283	291	321	355	322	321	313	312
Ilyushin 96 400	0	0	0	0	0	0	0	0	3	2	3	3	11	15	3	5	5	0	0	0	0	1
Ilyushin Il 96 300	48	48	54	67	85	93	102	103	104	110	112	117	13	24	17	23	28	28	27	29	29	31
Irkut MC 21 300	0	0	38	2	12	21	22	28	37	24	41	55	116	132	160	168	197	202	206	185	186	188
Let L 410NG	4	4	4	38	35	34	5	6	5	5	7	13	8	10	39	13	0	1	29	56	56	57
Let L 410UVP E20	7	7	11	12	14	23	23	47	43	12	9	9	11	44	5	39	40	9	9	7	14	14
Lockheed L 1011 1	18	18	1	1	0	17	17	17	19	23	23	9	7	6	0	0	0	2	4	4	4	0
Lockheed L 1011 500	50	50	52	53	55	55	53	57	68	78	84	86	90	91	94	94	95	86	89	90	92	95
McDonnell Douglas DC 10 30	0	0	0	0	0	2	3	6	12	12	12	12	20	21	43	44	46	46	45	45	45	45
McDonnell Douglas DC 8 50	0	0	9	27	66	108	127	134	61	57	47	61	76	90	134	143	151	157	165	162	162	162
McDonnell Douglas MD 11	21	21	34	49	28	39	89	84	126	106	97	98	148	160	181	194	174	193	192	204	207	214
McDonnell Douglas MD 81	217	217	226	280	296	278	281	136	33	48	66	66	90	98	95	91	91	80	80	88	85	83
McDonnell Douglas MD 90	0	0	2	13	38	44	50	55	64	45	37	43	73	64	80	121	103	124	119	117	105	104
Mitsubishi MRJ 100	244	244	172	184	203	176	172	81	101	105	132	165	284	338	229	210	249	245	272	290	299	309
Mitsubishi MRJ 90	501	501	504	562	442	434	504	570	619	640	635	665	422	442	400	389	344	338	554	559	567	574
Pilatus PC 12	30	30	30	28	17	40	29	30	36	11	16	41	45	43	20	20	17	34	44	49	35	34
