Airline	April 04, 2023	April 13, 2023	April 27, 2023	May 11, 2023	June 24, 2023	July 08, 2023	August 05, 2023	September 01, 2023	September 02, 2023	September 16, 2023	October 03, 2023	October 14, 2023	October 17, 2023
A AirLines	0	0	10	0	0	0	0	0	0	0	0	0	0
Adria Airways	0	0	0	0	0	9	27	0	0	0	0	0	0
AE	0	0	0	0	0	0	0	0	18	20	20	0	0
Aero Aghfiidnalxpvpdd	0	0	0	0	0	0	12	0	7	25	32	37	37
AeroFlot	46	46	0	3	10	16	16	0	0	0	0	0	0
Aerolineas Argentinas	31	35	37	46	58	58	66	0	0	0	0	0	0
Aerolineas de Las Americas	49	51	56	62	52	52	14	0	0	0	0	0	0
AeroLink	2	5	5	5	0	0	0	0	0	0	0	0	0
AeroLux Cruiser	132	157	198	245	336	339	367	0	27	75	108	146	154
AeroSwift	0	0	4	4	0	0	0	0	0	0	0	0	0
Aerova	113	110	100	64	129	129	175	0	24	20	24	30	30
Africa Air	59	70	110	138	3	3	0	0	0	0	0	0	0
AG Airlines	0	0	0	0	0	0	0	0	0	0	6	12	15
AI Air	0	0	0	0	0	0	0	0	0	0	0	0	0
Air Alpha	0	0	0	0	0	0	0	0	0	0	0	0	0
Air America	56	59	60	78	101	107	125	0	14	49	83	108	109
Air Asia	68	78	96	119	170	170	0	0	0	0	0	0	0
Air Astana	0	0	0	0	0	0	0	0	0	0	3	0	0
Air Berlin	0	0	0	0	0	0	0	0	0	12	49	90	98
Air Borealis	0	0	0	0	0	0	0	0	22	24	24	24	24
Air Boreas	0	0	0	0	0	0	0	0	3	14	17	17	17
Air Caucasus	0	0	0	0	0	10	47	0	0	0	0	0	0
Air Chowpatty	0	0	0	0	0	0	0	0	58	85	85	85	85
Air Corsica	0	0	0	0	0	0	0	0	37	34	67	96	101
Air Drake	222	236	223	64	180	191	245	0	11	20	43	70	79
Air Egypt	0	0	0	0	0	0	0	0	0	0	0	0	0
Air Europe	51	54	53	57	71	73	80	0	0	0	0	0	0
Air Flamenco	0	0	0	0	0	0	0	0	18	82	82	82	82
Air France	0	0	0	4	0	0	0	0	8	19	29	37	38
Air France KLM	0	0	0	0	0	0	0	0	5	5	0	0	0
Air Global	0	0	0	0	0	0	0	0	0	0	0	0	0
Air Greenland	0	0	0	0	0	0	40	0	0	0	0	0	0
Air India	173	241	269	0	125	151	206	0	34	39	24	40	43
Air Italy	64	68	73	80	83	83	23	0	0	0	0	0	0
Air Italy Express	80	82	87	93	98	99	101	0	0	0	0	0	0
Air Kerala	0	0	0	0	0	0	0	0	0	0	0	0	0
Air Kiribati	0	0	0	0	0	0	0	0	0	0	0	3	0
Air Koryo	89	100	108	120	126	134	144	0	0	0	0	0	0
Air Noumea	0	0	0	0	0	0	19	0	0	0	0	0	0
